"Project ID","Res.","Tissue","Condition","Source","Target","Ligand","Receptor","Pathway Name","Prob.","P-value","Evidence","Bubble Plot"
"CCN0483","0.2","Liver","Normal","B cells","Natural killer cells","Tgfb1","TGFbR1_R2","TGFb","0.008","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Natural killer cells","Tgfb1","TGFbR1_R2","TGFb","0.001","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Endothelial cells","Natural killer cells","Tgfb1","TGFbR1_R2","TGFb","0.007","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Hematopoietic cells","Natural killer cells","Tgfb1","TGFbR1_R2","TGFb","0.005","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Hepatic stellate cells","Natural killer cells","Tgfb1","TGFbR1_R2","TGFb","0.005","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Hepatocytes","Natural killer cells","Tgfb1","TGFbR1_R2","TGFb","0.006","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Kupffer cells","Natural killer cells","Tgfb1","TGFbR1_R2","TGFb","0.006","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Natural killer cells","Natural killer cells","Tgfb1","TGFbR1_R2","TGFb","0.005","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Natural killer cells","Tgfb2","TGFbR1_R2","TGFb","0.001","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","B cells","Cholangiocytes","Bmp2","BMPR1A_BMPR2","BMP","0.005","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Cholangiocytes","Bmp2","BMPR1A_BMPR2","BMP","0.013","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Endothelial cells","Cholangiocytes","Bmp2","BMPR1A_BMPR2","BMP","0.027","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Hematopoietic cells","Cholangiocytes","Bmp2","BMPR1A_BMPR2","BMP","0.008","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Hepatic stellate cells","Cholangiocytes","Bmp2","BMPR1A_BMPR2","BMP","0.013","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Hepatocytes","Cholangiocytes","Bmp2","BMPR1A_BMPR2","BMP","0.016","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Kupffer cells","Cholangiocytes","Bmp2","BMPR1A_BMPR2","BMP","0.015","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Natural killer cells","Cholangiocytes","Bmp2","BMPR1A_BMPR2","BMP","0.007","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Endothelial cells","Bmp6","ACVR1_BMPR2","BMP","0.003","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Endothelial cells","Endothelial cells","Bmp6","ACVR1_BMPR2","BMP","0.010","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Hepatic stellate cells","Endothelial cells","Bmp6","ACVR1_BMPR2","BMP","0.003","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Hepatocytes","Endothelial cells","Bmp6","ACVR1_BMPR2","BMP","0.003","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Kupffer cells","Endothelial cells","Bmp6","ACVR1_BMPR2","BMP","0.003","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Endothelial cells","Hepatic stellate cells","Bmp6","ACVR1_BMPR2","BMP","0.010","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Hepatocytes","Hepatic stellate cells","Bmp6","ACVR1_BMPR2","BMP","0.003","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Kupffer cells","Hepatic stellate cells","Bmp6","ACVR1_BMPR2","BMP","0.003","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Cholangiocytes","Bmp6","BMPR1A_BMPR2","BMP","0.002","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Endothelial cells","Cholangiocytes","Bmp6","BMPR1A_BMPR2","BMP","0.006","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Hepatic stellate cells","Cholangiocytes","Bmp6","BMPR1A_BMPR2","BMP","0.002","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Hepatocytes","Cholangiocytes","Bmp6","BMPR1A_BMPR2","BMP","0.002","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Kupffer cells","Cholangiocytes","Bmp6","BMPR1A_BMPR2","BMP","0.002","0.000","KEGG: mmu04350; PMID: 26893264",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","B cells","Gdf15","Tgfbr2","GDF","0.002","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Cholangiocytes","Gdf15","Tgfbr2","GDF","0.001","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Endothelial cells","Gdf15","Tgfbr2","GDF","0.006","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Hematopoietic cells","Gdf15","Tgfbr2","GDF","0.001","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Hepatic stellate cells","Gdf15","Tgfbr2","GDF","0.006","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Hepatocytes","Gdf15","Tgfbr2","GDF","0.004","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Kupffer cells","Gdf15","Tgfbr2","GDF","0.003","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Natural killer cells","Gdf15","Tgfbr2","GDF","0.003","0.000","KEGG: mmu04350",""
"CCN0483","0.2","Liver","Normal","Endothelial cells","Endothelial cells","Wnt2","FZD4_LRP5","WNT","0.007","0.000","KEGG: mmu04310; PMID: 23209147",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Cholangiocytes","Wnt2","FZD5_LRP5","WNT","0.001","0.000","KEGG: mmu04310; PMID: 23209147",""
"CCN0483","0.2","Liver","Normal","Endothelial cells","Cholangiocytes","Wnt2","FZD5_LRP5","WNT","0.002","0.000","KEGG: mmu04310; PMID: 23209147",""
"CCN0483","0.2","Liver","Normal","Hepatic stellate cells","Cholangiocytes","Wnt2","FZD5_LRP5","WNT","0.000","0.000","KEGG: mmu04310; PMID: 23209147",""
"CCN0483","0.2","Liver","Normal","Hepatocytes","Cholangiocytes","Wnt2","FZD5_LRP5","WNT","0.001","0.000","KEGG: mmu04310; PMID: 23209147",""
"CCN0483","0.2","Liver","Normal","Kupffer cells","Cholangiocytes","Wnt2","FZD5_LRP5","WNT","0.001","0.000","KEGG: mmu04310; PMID: 23209147",""
"CCN0483","0.2","Liver","Normal","Natural killer cells","Cholangiocytes","Wnt2","FZD5_LRP5","WNT","0.001","0.000","KEGG: mmu04310; PMID: 23209147",""
"CCN0483","0.2","Liver","Normal","Cholangiocytes","Hepatic stellate cells","Wnt2","FZD6_LRP5","WNT","0.000","0.000","KEGG: mmu04310; PMID: 23209147",""
"CCN0483","0.2","Liver","Normal","Endothelial cells","Hepatic stellate cells","Wnt2","FZD6_LRP5","WNT","0.002","0.000","KEGG: mmu04310; PMID: 23209147",""
