Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Protein stable ID	Protein stable ID version	Gene name	Source of gene name
ENSMUSG00000100384	ENSMUSG00000100384.2	ENSMUST00000186655	ENSMUST00000186655.2			Gm28489	MGI Symbol
ENSMUSG00000100216	ENSMUSG00000100216.2	ENSMUST00000189917	ENSMUST00000189917.2			Gm21867	MGI Symbol
ENSMUSG00000099641	ENSMUSG00000099641.2	ENSMUST00000186675	ENSMUST00000186675.2			Gm29448	MGI Symbol
ENSMUSG00000100271	ENSMUSG00000100271.2	ENSMUST00000186909	ENSMUST00000186909.2			Gm21127	MGI Symbol
ENSMUSG00000095634	ENSMUSG00000095634.3	ENSMUST00000187846	ENSMUST00000187846.2	ENSMUSP00000140326	ENSMUSP00000140326.2	Gm20816	MGI Symbol
ENSMUSG00000095634	ENSMUSG00000095634.3	ENSMUST00000177765	ENSMUST00000177765.2	ENSMUSP00000137306	ENSMUSP00000137306.2	Gm20816	MGI Symbol
ENSMUSG00000101393	ENSMUSG00000101393.2	ENSMUST00000186407	ENSMUST00000186407.2			Gm29447	MGI Symbol
ENSMUSG00000101393	ENSMUSG00000101393.2	ENSMUST00000186590	ENSMUST00000186590.2			Gm29447	MGI Symbol
ENSMUSG00000100885	ENSMUSG00000100885.2	ENSMUST00000190887	ENSMUST00000190887.2			Gm29446	MGI Symbol
ENSMUSG00000101120	ENSMUSG00000101120.2	ENSMUST00000187996	ENSMUST00000187996.2			Gm29452	MGI Symbol
ENSMUSG00000101216	ENSMUSG00000101216.2	ENSMUST00000188862	ENSMUST00000188862.2			Gm29451	MGI Symbol
ENSMUSG00000100032	ENSMUSG00000100032.2	ENSMUST00000191123	ENSMUST00000191123.2	ENSMUSP00000140565	ENSMUSP00000140565.2	Gm20817	MGI Symbol
ENSMUSG00000101080	ENSMUSG00000101080.2	ENSMUST00000190867	ENSMUST00000190867.2			Gm28633	MGI Symbol
ENSMUSG00000101080	ENSMUSG00000101080.2	ENSMUST00000187906	ENSMUST00000187906.2			Gm28633	MGI Symbol
ENSMUSG00000094444	ENSMUSG00000094444.3	ENSMUST00000190314	ENSMUST00000190314.2			Gm21562	MGI Symbol
ENSMUSG00000094444	ENSMUSG00000094444.3	ENSMUST00000177888	ENSMUST00000177888.2			Gm21562	MGI Symbol
ENSMUSG00000100308	ENSMUSG00000100308.2	ENSMUST00000188383	ENSMUST00000188383.2			Gm29410	MGI Symbol
ENSMUSG00000101423	ENSMUSG00000101423.7	ENSMUST00000190443	ENSMUST00000190443.7			Gm28298	MGI Symbol
ENSMUSG00000101423	ENSMUSG00000101423.7	ENSMUST00000185287	ENSMUST00000185287.2			Gm28298	MGI Symbol
ENSMUSG00000095626	ENSMUSG00000095626.3	ENSMUST00000186850	ENSMUST00000186850.2			Gm21572	MGI Symbol
ENSMUSG00000095626	ENSMUSG00000095626.3	ENSMUST00000180134	ENSMUST00000180134.2			Gm21572	MGI Symbol
ENSMUSG00000101761	ENSMUSG00000101761.7	ENSMUST00000190933	ENSMUST00000190933.7			Gm28297	MGI Symbol
ENSMUSG00000101761	ENSMUSG00000101761.7	ENSMUST00000186679	ENSMUST00000186679.2			Gm28297	MGI Symbol
ENSMUSG00000099493	ENSMUSG00000099493.2	ENSMUST00000187240	ENSMUST00000187240.2			Gm21753	MGI Symbol
ENSMUSG00000096777	ENSMUSG00000096777.3	ENSMUST00000189444	ENSMUST00000189444.2			Gm21723	MGI Symbol
ENSMUSG00000096777	ENSMUSG00000096777.3	ENSMUST00000178692	ENSMUST00000178692.2			Gm21723	MGI Symbol
ENSMUSG00000102119	ENSMUSG00000102119.7	ENSMUST00000188058	ENSMUST00000188058.7			Gm28462	MGI Symbol
ENSMUSG00000102119	ENSMUSG00000102119.7	ENSMUST00000185217	ENSMUST00000185217.2			Gm28462	MGI Symbol
ENSMUSG00000101147	ENSMUSG00000101147.2	ENSMUST00000190372	ENSMUST00000190372.2			Gm20818	MGI Symbol
ENSMUSG00000100739	ENSMUSG00000100739.7	ENSMUST00000186151	ENSMUST00000186151.7			Gm28296	MGI Symbol
ENSMUSG00000100739	ENSMUSG00000100739.7	ENSMUST00000185585	ENSMUST00000185585.2			Gm28296	MGI Symbol
ENSMUSG00000095345	ENSMUSG00000095345.3	ENSMUST00000187288	ENSMUST00000187288.2			Gm21821	MGI Symbol
ENSMUSG00000095345	ENSMUSG00000095345.3	ENSMUST00000179646	ENSMUST00000179646.2			Gm21821	MGI Symbol
ENSMUSG00000100709	ENSMUSG00000100709.7	ENSMUST00000188322	ENSMUST00000188322.7			Gm28295	MGI Symbol
ENSMUSG00000100709	ENSMUSG00000100709.7	ENSMUST00000190203	ENSMUST00000190203.2			Gm28295	MGI Symbol
ENSMUSG00000101254	ENSMUSG00000101254.2	ENSMUST00000189115	ENSMUST00000189115.2			Gm20932	MGI Symbol
ENSMUSG00000100976	ENSMUSG00000100976.2	ENSMUST00000186579	ENSMUST00000186579.2			Gm29134	MGI Symbol
ENSMUSG00000100489	ENSMUSG00000100489.2	ENSMUST00000185642	ENSMUST00000185642.2			Gm28303	MGI Symbol
ENSMUSG00000101239	ENSMUSG00000101239.2	ENSMUST00000185977	ENSMUST00000185977.2			Gm28304	MGI Symbol
ENSMUSG00000100971	ENSMUSG00000100971.2	ENSMUST00000187496	ENSMUST00000187496.2			Gm28824	MGI Symbol
ENSMUSG00000100509	ENSMUSG00000100509.2	ENSMUST00000186188	ENSMUST00000186188.2			Gm21810	MGI Symbol
ENSMUSG00000095553	ENSMUSG00000095553.3	ENSMUST00000187044	ENSMUST00000187044.2			Gm21916	MGI Symbol
ENSMUSG00000095553	ENSMUSG00000095553.3	ENSMUST00000178771	ENSMUST00000178771.2			Gm21916	MGI Symbol
ENSMUSG00000101099	ENSMUSG00000101099.7	ENSMUST00000185427	ENSMUST00000185427.7			Gm29191	MGI Symbol
ENSMUSG00000101099	ENSMUSG00000101099.7	ENSMUST00000188742	ENSMUST00000188742.2			Gm29191	MGI Symbol
ENSMUSG00000095049	ENSMUSG00000095049.3	ENSMUST00000178380	ENSMUST00000178380.3			Gm21756	MGI Symbol
ENSMUSG00000101601	ENSMUSG00000101601.2	ENSMUST00000190631	ENSMUST00000190631.2			Gm28210	MGI Symbol
ENSMUSG00000101516	ENSMUSG00000101516.7	ENSMUST00000188026	ENSMUST00000188026.7			Gm29074	MGI Symbol
ENSMUSG00000101516	ENSMUSG00000101516.7	ENSMUST00000185455	ENSMUST00000185455.7			Gm29074	MGI Symbol
ENSMUSG00000101516	ENSMUSG00000101516.7	ENSMUST00000187907	ENSMUST00000187907.2			Gm29074	MGI Symbol
ENSMUSG00000101359	ENSMUSG00000101359.2	ENSMUST00000190920	ENSMUST00000190920.2			Gm28211	MGI Symbol
ENSMUSG00000100790	ENSMUSG00000100790.7	ENSMUST00000188788	ENSMUST00000188788.7			Gm28518	MGI Symbol
ENSMUSG00000100790	ENSMUSG00000100790.7	ENSMUST00000187047	ENSMUST00000187047.7			Gm28518	MGI Symbol
ENSMUSG00000100790	ENSMUSG00000100790.7	ENSMUST00000187840	ENSMUST00000187840.2			Gm28518	MGI Symbol
ENSMUSG00000101302	ENSMUSG00000101302.7	ENSMUST00000190126	ENSMUST00000190126.7			Gm28519	MGI Symbol
ENSMUSG00000101302	ENSMUSG00000101302.7	ENSMUST00000189729	ENSMUST00000189729.7			Gm28519	MGI Symbol
ENSMUSG00000101302	ENSMUSG00000101302.7	ENSMUST00000187457	ENSMUST00000187457.2			Gm28519	MGI Symbol
ENSMUSG00000102125	ENSMUSG00000102125.7	ENSMUST00000189379	ENSMUST00000189379.7			Gm28520	MGI Symbol
ENSMUSG00000102125	ENSMUSG00000102125.7	ENSMUST00000190808	ENSMUST00000190808.7			Gm28520	MGI Symbol
ENSMUSG00000102125	ENSMUSG00000102125.7	ENSMUST00000187225	ENSMUST00000187225.2			Gm28520	MGI Symbol
ENSMUSG00000094064	ENSMUSG00000094064.3	ENSMUST00000189751	ENSMUST00000189751.2			Gm21626	MGI Symbol
ENSMUSG00000094064	ENSMUSG00000094064.3	ENSMUST00000177791	ENSMUST00000177791.2			Gm21626	MGI Symbol
ENSMUSG00000101421	ENSMUSG00000101421.2	ENSMUST00000187085	ENSMUST00000187085.2			Gm28433	MGI Symbol
ENSMUSG00000099461	ENSMUSG00000099461.7	ENSMUST00000190230	ENSMUST00000190230.7			Gm28521	MGI Symbol
ENSMUSG00000099461	ENSMUSG00000099461.7	ENSMUST00000188948	ENSMUST00000188948.2			Gm28521	MGI Symbol
ENSMUSG00000101706	ENSMUSG00000101706.2	ENSMUST00000185592	ENSMUST00000185592.2			Gm28431	MGI Symbol
ENSMUSG00000096532	ENSMUSG00000096532.3	ENSMUST00000186630	ENSMUST00000186630.2			Gm21633	MGI Symbol
ENSMUSG00000096532	ENSMUSG00000096532.3	ENSMUST00000178941	ENSMUST00000178941.2			Gm21633	MGI Symbol
ENSMUSG00000101627	ENSMUSG00000101627.2	ENSMUST00000185237	ENSMUST00000185237.2			Gm28432	MGI Symbol
ENSMUSG00000101627	ENSMUSG00000101627.2	ENSMUST00000189356	ENSMUST00000189356.2			Gm28432	MGI Symbol
ENSMUSG00000101852	ENSMUSG00000101852.2	ENSMUST00000187173	ENSMUST00000187173.2			Gm20886	MGI Symbol
ENSMUSG00000101681	ENSMUSG00000101681.7	ENSMUST00000190561	ENSMUST00000190561.7			Gm28522	MGI Symbol
ENSMUSG00000101681	ENSMUSG00000101681.7	ENSMUST00000185908	ENSMUST00000185908.2			Gm28522	MGI Symbol
ENSMUSG00000099438	ENSMUSG00000099438.2	ENSMUST00000185495	ENSMUST00000185495.2			Gm21808	MGI Symbol
ENSMUSG00000101870	ENSMUSG00000101870.2	ENSMUST00000189513	ENSMUST00000189513.2			Gm21745	MGI Symbol
ENSMUSG00000101472	ENSMUSG00000101472.2	ENSMUST00000190343	ENSMUST00000190343.2			Gm28517	MGI Symbol
ENSMUSG00000101407	ENSMUSG00000101407.7	ENSMUST00000185593	ENSMUST00000185593.7			Gm29532	MGI Symbol
ENSMUSG00000101407	ENSMUSG00000101407.7	ENSMUST00000191113	ENSMUST00000191113.2			Gm29532	MGI Symbol
ENSMUSG00000099500	ENSMUSG00000099500.2	ENSMUST00000190569	ENSMUST00000190569.2			Gm29531	MGI Symbol
ENSMUSG00000100097	ENSMUSG00000100097.7	ENSMUST00000188929	ENSMUST00000188929.7			Gm28464	MGI Symbol
ENSMUSG00000100097	ENSMUSG00000100097.7	ENSMUST00000187726	ENSMUST00000187726.2			Gm28464	MGI Symbol
ENSMUSG00000099806	ENSMUSG00000099806.2	ENSMUST00000191284	ENSMUST00000191284.2			Gm28841	MGI Symbol
ENSMUSG00000101474	ENSMUSG00000101474.2	ENSMUST00000187236	ENSMUST00000187236.2			Gm29656	MGI Symbol
ENSMUSG00000099704	ENSMUSG00000099704.2	ENSMUST00000190289	ENSMUST00000190289.2			Gm28842	MGI Symbol
ENSMUSG00000099704	ENSMUSG00000099704.2	ENSMUST00000186399	ENSMUST00000186399.2			Gm28842	MGI Symbol
ENSMUSG00000101383	ENSMUSG00000101383.2	ENSMUST00000189198	ENSMUST00000189198.2			Gm28843	MGI Symbol
ENSMUSG00000099737	ENSMUSG00000099737.7	ENSMUST00000187728	ENSMUST00000187728.7			Gm29655	MGI Symbol
ENSMUSG00000099737	ENSMUSG00000099737.7	ENSMUST00000190528	ENSMUST00000190528.2			Gm29655	MGI Symbol
ENSMUSG00000099914	ENSMUSG00000099914.2	ENSMUST00000190397	ENSMUST00000190397.2			Gm28837	MGI Symbol
ENSMUSG00000101417	ENSMUSG00000101417.2	ENSMUST00000189755	ENSMUST00000189755.2			Gm21647	MGI Symbol
ENSMUSG00000101654	ENSMUSG00000101654.2	ENSMUST00000187192	ENSMUST00000187192.2			Gm29653	MGI Symbol
ENSMUSG00000099369	ENSMUSG00000099369.2	ENSMUST00000186338	ENSMUST00000186338.2			Gm28838	MGI Symbol
ENSMUSG00000101808	ENSMUSG00000101808.2	ENSMUST00000186886	ENSMUST00000186886.2			Gm29654	MGI Symbol
ENSMUSG00000101893	ENSMUSG00000101893.2	ENSMUST00000189579	ENSMUST00000189579.2			Gm28839	MGI Symbol
ENSMUSG00000099910	ENSMUSG00000099910.2	ENSMUST00000189088	ENSMUST00000189088.2			Gm29651	MGI Symbol
ENSMUSG00000100442	ENSMUSG00000100442.2	ENSMUST00000187981	ENSMUST00000187981.2			Gm20866	MGI Symbol
ENSMUSG00000101518	ENSMUSG00000101518.2	ENSMUST00000190110	ENSMUST00000190110.2			Gm20868	MGI Symbol
ENSMUSG00000099818	ENSMUSG00000099818.2	ENSMUST00000188622	ENSMUST00000188622.2			Gm29652	MGI Symbol
ENSMUSG00000100500	ENSMUSG00000100500.2	ENSMUST00000188565	ENSMUST00000188565.2			Gm29080	MGI Symbol
ENSMUSG00000100677	ENSMUSG00000100677.2	ENSMUST00000189684	ENSMUST00000189684.2			Gm21184	MGI Symbol
