Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Protein stable ID	Protein stable ID version	Gene name	Source of gene name
ENSMUSG00000096776	ENSMUSG00000096776.2	ENSMUST00000177783	ENSMUST00000177783.2	ENSMUSP00000136057	ENSMUSP00000136057.2	Vmn1r186	NCBI gene (formerly Entrezgene)
ENSMUSG00000096244	ENSMUSG00000096244.2	ENSMUST00000177979	ENSMUST00000177979.2	ENSMUSP00000136748	ENSMUSP00000136748.2		
ENSMUSG00000062783	ENSMUSG00000062783.3	ENSMUST00000078827	ENSMUST00000078827.3	ENSMUSP00000091219	ENSMUSP00000091219.2	Csprs	NCBI gene (formerly Entrezgene)
ENSMUSG00000047462	ENSMUSG00000047462.10	ENSMUST00000151029	ENSMUST00000151029.3	ENSMUSP00000158601	ENSMUSP00000158601.2	Gpr141b	MGI Symbol
ENSMUSG00000047462	ENSMUSG00000047462.10	ENSMUST00000151029	ENSMUST00000151029.3	ENSMUSP00000158601	ENSMUSP00000158601.2	Gpr141b	MGI Symbol
ENSMUSG00000053101	ENSMUSG00000053101.4	ENSMUST00000065335	ENSMUST00000065335.3	ENSMUSP00000066921	ENSMUSP00000066921.3	Gpr141	MGI Symbol
ENSMUSG00000053101	ENSMUSG00000053101.4	ENSMUST00000065335	ENSMUST00000065335.3	ENSMUSP00000066921	ENSMUSP00000066921.3	Gpr141	MGI Symbol
ENSMUSG00000053101	ENSMUSG00000053101.4	ENSMUST00000222664	ENSMUST00000222664.2	ENSMUSP00000152482	ENSMUSP00000152482.2	Gpr141	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000215357	ENSMUST00000215357.2	ENSMUSP00000149738	ENSMUSP00000149738.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000215357	ENSMUST00000215357.2	ENSMUSP00000149738	ENSMUSP00000149738.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000215357	ENSMUST00000215357.2	ENSMUSP00000149738	ENSMUSP00000149738.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000215357	ENSMUST00000215357.2	ENSMUSP00000149738	ENSMUSP00000149738.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000215806	ENSMUST00000215806.2	ENSMUSP00000149341	ENSMUSP00000149341.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000215806	ENSMUST00000215806.2	ENSMUSP00000149341	ENSMUSP00000149341.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000215806	ENSMUST00000215806.2	ENSMUSP00000149341	ENSMUSP00000149341.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000215806	ENSMUST00000215806.2	ENSMUSP00000149341	ENSMUSP00000149341.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000058168	ENSMUST00000058168.2	ENSMUSP00000054533	ENSMUSP00000054533.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000058168	ENSMUST00000058168.2	ENSMUSP00000054533	ENSMUSP00000054533.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000058168	ENSMUST00000058168.2	ENSMUSP00000054533	ENSMUSP00000054533.2	Or2p2	MGI Symbol
ENSMUSG00000042869	ENSMUSG00000042869.3	ENSMUST00000058168	ENSMUST00000058168.2	ENSMUSP00000054533	ENSMUSP00000054533.2	Or2p2	MGI Symbol
