Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
A0A0B4J1F4	reviewed	ARRD4_MOUSE	Arrestin domain-containing protein 4	Arrdc4	Mus musculus (Mouse)
A0A0B4J1G0	reviewed	FCG3A_MOUSE	Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (CD16-2) (FcgammaRIV) (CD antigen CD16a)	Fcgr4 Fcgr3a	Mus musculus (Mouse)
A0A0U1RPR8	reviewed	GUC2D_MOUSE	Guanylate cyclase D (EC 4.6.1.2)	Gucy2d	Mus musculus (Mouse)
A0A494BA31	reviewed	B3A4_MOUSE	Anion exchange protein 4 (AE 4) (Anion exchanger 4) (Solute carrier family 4 member 9)	Slc4a9 AE4	Mus musculus (Mouse)
A0A5F8MPU3	reviewed	CTSRT_MOUSE	Cation channel sperm-associated targeting subunit tau (CatSper-tau) (C2 calcium-dependent domain-containing 6)	C2cd6 Als2cr11 CATSPERT	Mus musculus (Mouse)
A1KXC4	reviewed	FCMR_MOUSE	Immunoglobulin mu Fc receptor (IgM FcR) (Fas apoptotic inhibitory molecule 3) (FAIM3) (Regulator of Fas-induced apoptosis Toso)	Fcmr Faim3 Toso	Mus musculus (Mouse)
A1L3P4	reviewed	SL9A6_MOUSE	Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Sodium/hydrogen exchanger) (Solute carrier family 9 member 6)	Slc9a6 Nhe6	Mus musculus (Mouse)
A2A259	reviewed	PK2L1_MOUSE	Polycystin-2-like protein 1 (Polycystin-2L1) (Polycystic kidney disease 2-like 1 protein) (Polycystin-2 homolog)	Pkd2l1 Trpp3	Mus musculus (Mouse)
A2A5Z6	reviewed	SMUF2_MOUSE	E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	Smurf2	Mus musculus (Mouse)
A2A863	reviewed	ITB4_MOUSE	Integrin beta-4 (CD antigen CD104)	Itgb4	Mus musculus (Mouse)
A2AAE1	reviewed	BLTP1_MOUSE	Bridge-like lipid transfer protein family member 1 (Fragile site-associated protein homolog)	Bltp1 Fsa Kiaa1109 Kiaa1371	Mus musculus (Mouse)
A2AAJ9	reviewed	OBSCN_MOUSE	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)
A2AHL1	reviewed	ANO3_MOUSE	Anoctamin-3 (Transmembrane protein 16C)	Ano3 Tmem16c	Mus musculus (Mouse)
A2AIR5	reviewed	NMD3A_MOUSE	Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)	Grin3a Kiaa1973	Mus musculus (Mouse)
A2AJN7	reviewed	S4A11_MOUSE	Solute carrier family 4 member 11 (Sodium borate cotransporter 1) (NaBC1)	Slc4a11 BTR1	Mus musculus (Mouse)
A2ALU4	reviewed	SHRM2_MOUSE	Protein Shroom2 (Protein Apxl)	Shroom2 Apxl	Mus musculus (Mouse)
A2AMM0	reviewed	CAVN4_MOUSE	Caveolae-associated protein 4 (Muscle-related coiled-coil protein) (Muscle-restricted coiled-coil protein)	Cavin4 Murc	Mus musculus (Mouse)
